#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_36	51732	11	N	N	2	*	*,36,*
contig_12	29151	6	N	N	1	*	*,12,*
contig_28	26423	3	N	N	1	*	*,28,*
contig_33	17892	4	N	N	1	*	*,33,*
contig_27	11909	3	N	N	1	*	*,27,*
contig_11	11289	4	N	N	1	*	*,11,*
contig_29	10794	3	N	N	1	*	*,29,*
contig_34	10485	6	N	N	1	*	*,34,*
contig_8	9363	3	N	N	1	*	*,8,*
contig_23	8776	4	N	N	1	*	*,23,*
contig_35	8706	4	Y	N	1	*	35
contig_3	8562	3	N	N	1	*	*,3,*
contig_17	8533	3	N	N	1	*	*,17,*
contig_18	8361	3	N	N	1	*	*,18,*
contig_24	7426	3	N	N	1	*	*,24,*
contig_26	7183	3	N	N	1	*	*,26,*
contig_25	6441	3	N	N	1	*	*,25,*
contig_16	5640	4	N	N	1	*	*,16,*
contig_14	5583	5	N	N	1	*	*,14,*
contig_4	5388	4	N	N	1	*	*,4,*
contig_31	5258	3	N	N	1	*	*,31,*
contig_1	4911	4	N	N	1	*	*,1,*
contig_13	4737	3	N	N	1	*	*,13,*
contig_21	4724	5	N	N	1	*	*,21,*
contig_15	4605	4	N	N	1	*	*,15,*
contig_37	4374	8	Y	Y	2	*	37
contig_6	4134	3	N	N	1	*	*,6,*
contig_5	3570	5	N	N	1	*	*,5,*
contig_20	3364	4	N	N	1	*	*,20,*
contig_30	3000	4	N	N	1	*	*,30,*
contig_10	2725	3	N	N	1	*	*,10,*
contig_19	2542	46	N	N	12	*	*,19,*
contig_22	2467	3	N	N	1	*	*,22,*
contig_9	2467	4	N	N	1	*	*,9,*
contig_32	2260	3	N	N	1	*	*,32,*
contig_2	1725	19	N	N	4	*	*,2,*
contig_7	1640	4	N	N	1	*	*,7,*
