#seq_name	length	coverage
contig_1	20171	5
contig_10	11804	5
contig_100	9860	3
contig_101	27429	3
contig_102	4376	3
contig_103	21738	5
contig_104	17454	6
contig_105	32741	5
contig_106	17020	5
contig_107	17714	7
contig_108	7514	4
contig_109	6307	3
contig_11	10220	3
contig_110	24434	4
contig_111	21406	3
contig_112	20283	5
contig_113	14907	7
contig_114	35199	5
contig_115	4118	5
contig_116	13874	7
contig_117	5128	4
contig_118	33860	3
contig_119	14886	4
contig_12	5906	4
contig_120	21050	3
contig_121	8120	5
contig_122	7807	4
contig_123	6553	5
contig_124	6880	4
contig_125	13461	8
contig_126	4623	4
contig_127	7293	4
contig_128	12642	3
contig_129	7854	4
contig_13	45186	4
contig_130	9723	5
contig_131	8900	3
contig_132	2320	3
contig_133	17155	5
contig_134	7065	3
contig_135	9199	5
contig_136	13602	5
contig_137	7405	4
contig_138	21129	3
contig_139	27511	7
contig_14	4710	5
contig_140	22564	4
contig_141	12729	3
contig_142	39374	6
contig_143	8773	18
contig_15	12488	3
contig_16	5655	4
contig_17	16635	4
contig_18	3376	3
contig_19	8456	4
contig_2	4947	4
contig_20	8537	3
contig_21	5729	4
contig_22	17632	5
contig_23	13269	6
contig_24	7260	7
contig_25	4248	5
contig_26	25943	4
contig_27	9200	3
contig_28	38275	4
contig_29	8256	5
contig_3	10694	4
contig_30	13670	4
contig_31	5048	4
contig_32	20040	4
contig_33	6483	3
contig_34	13500	4
contig_35	11919	3
contig_36	6170	5
contig_37	11856	3
contig_38	15109	4
contig_39	3045	4
contig_4	47689	4
contig_40	7489	4
contig_41	20866	3
contig_42	18481	5
contig_43	15558	4
contig_44	3058	3
contig_45	11657	3
contig_46	5605	4
contig_47	13639	4
contig_48	2571	3
contig_49	5177	3
contig_5	10416	4
contig_50	13727	3
contig_51	12172	3
contig_52	7016	4
contig_53	20522	3
contig_54	18649	3
contig_55	7173	4
contig_56	15599	3
contig_57	2562	3
contig_58	10854	4
contig_59	2348	4
contig_6	18547	4
contig_60	4315	4
contig_61	5128	5
contig_62	18253	4
contig_63	5861	5
contig_64	21823	5
contig_65	26604	5
contig_66	3898	4
contig_67	10847	4
contig_68	13014	3
contig_69	25924	4
contig_7	20127	3
contig_70	14639	3
contig_71	4057	5
contig_72	8666	4
contig_73	11848	4
contig_74	6081	3
contig_75	14509	4
contig_76	2555	3
contig_77	6234	4
contig_78	3572	4
contig_79	9112	3
contig_8	37347	4
contig_80	4057	4
contig_81	8169	3
contig_82	12172	4
contig_83	30503	3
contig_84	3895	3
contig_85	20766	3
contig_86	6190	4
contig_87	2369	4
contig_88	27680	4
contig_89	5669	52
contig_9	25788	4
contig_90	6869	4
contig_91	21237	4
contig_92	43743	4
contig_93	12817	7
contig_94	2229	4
contig_95	2447	4
contig_96	2398	3
contig_97	19600	3
contig_99	4764	4
