#seq_name	length	coverage
contig_6	2430	4
contig_7	2627	3
contig_12	2256	3
contig_15	2375	3
contig_17	3304	3
contig_11	5169	3
contig_8	9289	3
contig_16	7316	3
contig_19	6420	3
contig_20	5952	4
contig_21	7500	3
contig_22	7516	3
contig_10	7711	9
contig_25	5667	3
contig_28	2521	3
contig_5	16931	4
contig_27	4011	4
contig_23	5579	10
contig_32	2206	3
contig_24	8682	4
contig_33	2346	3
contig_29	5915	4
contig_31	3849	4
contig_18	17347	4
contig_34	3345	3
contig_36	2364	4
contig_35	3866	3
contig_30	10434	3
contig_37	5752	4
contig_42	4871	3
contig_39	5578	4
contig_40	6339	4
contig_38	7378	3
contig_44	6939	3
contig_45	5282	4
contig_41	10200	3
contig_46	7722	3
contig_47	8633	3
contig_51	9306	3
contig_48	10007	3
contig_52	6763	4
contig_14	4543	55
contig_53	9175	3
contig_56	2490	4
contig_43	18340	4
contig_57	5771	3
contig_61	2003	5
contig_54	12565	4
contig_60	4094	3
contig_49	16402	4
contig_58	6040	4
contig_63	2229	4
contig_62	3430	3
contig_55	15095	3
contig_59	10244	4
contig_65	4082	72
contig_64	60887	10
contig_50	84238	13
contig_13	5629	881
contig_26	517395	10
contig_9	679298	11
contig_4	688906	11
contig_3	887178	14
contig_1	1403935	14
