#seq_name	length	coverage	circular	repeat	mult	telomere	alt_group	graph_path
contig_1	20168	5	N	N	2	both	*	1
contig_2	4943	3	N	N	1	both	*	2
contig_3	10696	3	N	N	1	both	*	3
contig_4	47695	3	N	N	1	both	*	4
contig_5	10407	3	N	N	1	both	*	5
contig_6	18525	3	N	N	1	both	*	6
contig_7	20017	3	N	N	1	both	*	7
contig_8	37299	4	N	N	1	both	*	8
contig_9	25761	3	N	N	1	both	*	9
contig_10	11803	4	N	N	1	both	*	10
contig_11	10209	3	N	N	1	both	*	11
contig_12	5900	4	N	N	1	both	*	12
contig_13	45131	3	N	N	1	both	*	13
contig_14	4709	3	N	N	1	both	*	14
contig_15	12472	3	N	N	1	both	*	15
contig_16	5647	3	N	N	1	both	*	16
contig_17	16617	3	N	N	1	both	*	17
contig_18	3374	3	N	N	1	both	*	18
contig_19	8453	3	N	N	1	both	*	19
contig_20	8537	3	N	N	1	both	*	20
contig_21	5718	3	N	N	1	both	*	21
contig_22	17590	4	N	N	1	both	*	22
contig_23	13260	5	N	N	2	both	*	23
contig_24	7260	6	N	N	2	both	*	24
contig_25	4247	4	N	N	1	both	*	25
contig_26	25925	3	N	N	1	both	*	26
contig_27	9196	3	N	N	1	both	*	27
contig_28	38214	3	N	N	1	both	*	28
contig_29	8253	3	N	N	1	both	*	29
contig_30	13641	3	N	N	1	both	*	30
contig_31	5043	3	N	N	1	both	*	31
contig_32	20037	3	N	N	1	both	*	32
contig_33	6477	3	N	N	1	both	*	33
contig_34	13469	3	N	N	1	both	*	34
contig_35	11911	3	N	N	1	both	*	35
contig_36	6161	4	N	N	1	both	*	36
contig_37	11844	3	N	N	1	both	*	37
contig_38	15099	3	N	N	1	both	*	38
contig_39	3044	3	N	N	1	both	*	39
contig_40	7388	3	N	N	1	both	*	40
contig_41	20838	3	N	N	1	both	*	41
contig_42	18481	4	N	N	1	both	*	42
contig_43	15540	3	N	N	1	both	*	43
contig_44	3058	3	N	N	1	both	*	44
contig_45	11649	3	N	N	1	both	*	45
contig_46	5602	3	N	N	1	both	*	46
contig_47	13636	3	N	N	1	both	*	47
contig_48	2571	3	N	N	1	both	*	48
contig_49	5172	3	N	N	1	both	*	49
contig_50	13686	3	N	N	1	both	*	50
contig_51	12115	3	N	N	1	both	*	51
contig_52	7014	3	N	N	1	both	*	52
contig_53	20482	3	N	N	1	both	*	53
contig_54	18602	3	N	N	1	both	*	54
contig_55	7167	3	N	N	1	both	*	55
contig_56	15579	3	N	N	1	both	*	56
contig_57	2561	3	N	N	1	both	*	57
contig_58	10845	4	N	N	1	both	*	58
contig_59	2348	4	N	N	1	both	*	59
contig_60	4315	4	N	N	1	both	*	60
contig_61	5128	3	N	N	1	both	*	61
contig_62	18223	3	N	N	1	both	*	62
contig_63	5860	5	N	N	2	both	*	63
contig_64	21803	4	N	N	1	both	*	64
contig_65	26556	4	N	N	1	both	*	65
contig_66	3898	3	N	N	1	both	*	66
contig_67	10841	4	N	N	1	both	*	67
contig_68	12995	3	N	N	1	both	*	68
contig_69	25831	3	N	N	1	both	*	69
contig_70	14628	3	N	N	1	both	*	70
contig_71	4052	3	N	N	1	both	*	71
contig_72	8663	3	N	N	1	both	*	72
contig_73	11833	4	N	N	1	both	*	73
contig_74	6081	3	N	N	1	both	*	74
contig_75	14501	4	N	N	1	both	*	75
contig_76	2553	3	N	N	1	both	*	76
contig_77	6235	3	N	N	1	both	*	77
contig_78	3572	3	N	N	1	both	*	78
contig_79	9104	3	N	N	1	both	*	79
contig_80	4050	3	N	N	1	both	*	80
contig_81	8151	3	N	N	1	both	*	81
contig_82	12157	3	N	N	1	both	*	82
contig_83	30460	3	N	N	1	both	*	83
contig_84	3893	3	N	N	1	both	*	84
contig_85	20749	3	N	N	1	both	*	85
contig_86	6187	3	N	N	1	both	*	86
contig_87	2367	3	N	N	1	both	*	87
contig_88	27669	3	N	N	1	both	*	88
contig_89	5724	40	Y	N	13	none	*	89
contig_90	6900	3	N	N	1	both	*	90
contig_91	21233	3	N	N	1	both	*	91
contig_92	43737	4	N	N	1	both	*	92
contig_93	12817	6	N	N	2	both	*	93
contig_94	2229	3	N	N	1	both	*	94
contig_95	2447	3	N	N	1	both	*	95
contig_96	2565	3	N	N	1	both	*	96
contig_97	19582	3	N	N	1	left	*	97,-98
contig_99	4759	3	N	N	1	both	*	99
contig_100	9855	3	N	N	1	both	*	100
contig_101	27368	3	N	N	1	both	*	101
contig_102	4365	3	N	N	1	both	*	102
contig_103	21728	3	N	N	1	both	*	103
contig_104	17453	5	N	N	2	both	*	104
contig_105	32732	5	N	N	2	both	*	105
contig_106	16996	4	N	N	1	both	*	106
contig_107	17713	6	N	N	2	both	*	107
contig_108	7510	3	N	N	1	both	*	108
contig_109	6304	3	N	N	1	both	*	109
contig_110	24344	3	N	N	1	both	*	110
contig_111	21384	3	N	N	1	both	*	111
contig_112	20283	4	N	N	1	both	*	112
contig_113	14906	5	N	N	2	both	*	113
contig_114	35073	4	N	N	1	both	*	114
contig_115	4117	3	N	N	1	both	*	115
contig_116	13874	5	N	N	2	both	*	116
contig_117	5124	3	N	N	1	both	*	117
contig_118	33738	3	N	N	1	both	*	118
contig_119	14859	4	N	N	1	both	*	119
contig_120	21020	3	N	N	1	both	*	120
contig_121	8102	3	N	N	1	both	*	121
contig_122	7795	4	N	N	1	both	*	122
contig_123	6552	5	N	N	2	both	*	123
contig_124	6794	3	N	N	1	both	*	124
contig_125	13454	7	N	N	2	both	*	125
contig_126	4616	3	N	N	1	both	*	126
contig_127	7287	3	N	N	1	both	*	127
contig_128	12633	3	N	N	1	both	*	128
contig_129	7847	3	N	N	1	both	*	129
contig_130	9722	4	N	N	1	both	*	130
contig_131	8894	3	N	N	1	both	*	131
contig_132	2307	3	N	N	1	both	*	132
contig_133	17144	4	N	N	1	both	*	133
contig_134	7057	3	N	N	1	both	*	134
contig_135	9199	4	N	N	1	both	*	135
contig_136	13592	5	N	N	2	both	*	136
contig_137	7377	3	N	N	1	both	*	137
contig_138	21066	3	N	N	1	both	*	138
contig_139	27504	6	N	N	2	both	*	139
