#seq_name	length	coverage
contig_3	2707	3
contig_13	13433	4
contig_1	20165	3
contig_11	18680	3
contig_20	6780	3
contig_19	22735	4
contig_2	56404	3
contig_7	55985	3
contig_18	49827	4
contig_4	57229	4
contig_9	54160	5
contig_16	54526	5
contig_28	7901	5
contig_31	7804	3
contig_30	11984	5
contig_5	105063	4
contig_15	79587	5
contig_33	31049	4
contig_6	100001	5
contig_25	62695	5
contig_22	90056	4
contig_37	17906	4
contig_8	104202	5
contig_34	39744	6
contig_27	72321	4
contig_36	26161	3
contig_29	82660	4
contig_17	132234	5
contig_43	18850	4
contig_45	16441	4
contig_39	39440	5
contig_42	27549	5
contig_49	3821	3
contig_47	8597	3
contig_44	34509	4
contig_38	57777	3
contig_50	11199	4
contig_14	164751	4
contig_32	105734	5
contig_26	114793	5
contig_35	85346	4
contig_24	135008	5
contig_48	45396	3
contig_40	75612	4
contig_46	56199	5
contig_10	197964	4
contig_61	7602	5
contig_53	14307	25
contig_56	12079	28
contig_12	1527	1
contig_23	2636	2
contig_57	51358	4
contig_54	69365	4
contig_63	32992	4
contig_60	59105	5
contig_58	85061	3
contig_52	123632	4
contig_55	119661	4
contig_65	85042	4
contig_51	143728	4
contig_59	111067	4
contig_41	180209	5
contig_62	42871	30
