#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_10	197964	4	N	N	1	*	*,10,*
contig_41	180209	5	N	N	1	*	*,41,*
contig_14	164751	4	N	N	1	*	*,14,*
contig_51	143728	4	N	N	1	*	*,51,*
contig_24	135008	5	N	N	1	*	24,21
contig_17	132234	5	N	N	1	*	*,17,*
contig_52	123632	4	N	N	1	*	*,52,*
contig_55	119661	4	N	N	1	*	*,55,*
contig_26	114793	5	N	N	1	*	*,26,*
contig_59	111067	4	N	N	1	*	*,59,*
contig_32	105734	5	N	N	1	*	*,32,*
contig_5	105063	4	N	N	1	*	*,5,*
contig_8	104202	5	N	N	1	*	*,8,*
contig_6	100001	5	N	N	1	*	*,6,*
contig_22	90056	4	N	N	1	*	*,22,21
contig_35	85346	4	N	N	1	*	*,35,64,*
contig_58	85061	3	N	N	1	*	*,58,*
contig_65	85042	4	N	N	1	*	*,65,*
contig_29	82660	4	N	N	1	*	*,29
contig_15	79587	5	N	N	1	*	*,15,*
contig_40	75612	4	N	N	1	*	*,40,*
contig_27	72321	4	N	N	1	*	27,*
contig_54	69365	4	N	N	1	*	*,54,*
contig_25	62695	5	N	N	1	*	*,25,*
contig_60	59105	5	N	N	1	*	*,60,*
contig_38	57777	3	N	N	1	*	*,38,*
contig_4	57229	4	N	N	1	*	*,4,*
contig_2	56404	3	N	N	1	*	*,2,*
contig_46	56199	5	N	N	1	*	*,46,*
contig_7	55985	3	N	N	1	*	*,7,*
contig_16	54526	5	N	N	1	*	*,16,*
contig_9	54160	5	N	N	1	*	*,9,*
contig_57	51358	4	N	N	1	*	*,57,*
contig_18	49827	4	N	N	1	*	*,18,*
contig_48	45396	3	N	N	1	*	*,48,*
contig_62	42871	30	Y	N	7	*	62
contig_34	39744	6	N	N	1	*	*,34,*
contig_39	39440	5	N	N	1	*	*,39,*
contig_44	34509	4	N	N	1	*	*,44,*
contig_63	32992	4	N	N	1	*	*,63,*
contig_33	31049	4	N	N	1	*	*,33,*
contig_42	27549	5	N	N	1	*	*,42,*
contig_36	26161	3	N	N	1	*	*,-64,36,*
contig_19	22735	4	N	N	1	*	*,19,*
contig_1	20165	3	N	N	1	*	*,1,*
contig_43	18850	4	N	N	1	*	*,43,*
contig_11	18680	3	N	N	1	*	*,11,*
contig_37	17906	4	N	N	1	*	*,37,*
contig_45	16441	4	N	N	1	*	*,45,*
contig_53	14307	25	Y	N	5	*	53
contig_13	13433	4	N	N	1	*	*,13,*
contig_56	12079	28	Y	N	6	*	56
contig_30	11984	5	N	N	1	*	*,30,*
contig_50	11199	4	N	N	1	*	*,50,*
contig_47	8597	3	N	N	1	*	*,47,*
contig_28	7901	5	N	N	1	*	*,28,*
contig_31	7804	3	N	N	1	*	*,31,*
contig_61	7602	5	N	N	1	*	*,61,21
contig_20	6780	3	N	N	1	*	*,20,*
contig_49	3821	3	N	N	1	*	*,49,*
contig_3	2707	3	N	N	1	*	*,3,*
