#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_2	4675327	232	N	N	1	*	1,2,1
contig_33	75860	18	Y	N	1	*	33
contig_7	51736	5	N	N	1	*	*,7,58,*
contig_1	45180	238	N	Y	1	*	1
contig_47	37190	4	N	N	1	*	*,47,*
contig_55	36561	3	N	N	1	*	*,55,*
contig_28	35298	4	N	N	1	*	*,28,*
contig_45	35261	6	N	N	1	*	*,45,*
contig_27	34813	3	N	N	1	*	*,27,*
contig_25	33100	6	N	N	1	*	*,25,*
contig_48	32944	3	N	N	1	*	*,48,*
contig_51	32336	4	N	N	1	*	*,51,*
contig_14	31987	5	N	N	1	*	*,14,*
contig_23	29937	4	N	N	1	*	*,23,*
contig_17	29603	6	N	N	1	*	*,17,*
contig_29	24396	4	N	Y	1	20	*,29,*
contig_18	21736	4	N	N	1	*	*,18,*
contig_50	21587	4	N	N	1	*	*,50,58,*
contig_46	20616	11	N	Y	1	20	*,46,*
contig_11	20374	6	N	N	1	*	*,11,*
contig_53	18342	4	N	N	1	*	*,53,*
contig_13	17960	6	N	N	1	*	*,13,*
contig_5	15423	3	N	N	1	*	*,5,*
contig_26	13905	3	N	N	1	*	*,26,*
contig_49	13641	4	N	N	1	*	*,49,*
contig_19	13145	3	N	N	1	*	*,19,*
contig_52	12563	3	N	N	1	*	*,52,*
contig_44	10922	3	N	N	1	*	*,44,*
contig_21	10489	4	N	N	1	*	*,21,*
contig_39	9109	6	N	Y	1	16	*,39
contig_32	7517	5	N	Y	1	14	*,32,*
contig_12	7451	3	N	N	1	*	*,12,*
contig_3	6086	6	N	N	1	*	*,3,*
contig_10	5462	4	N	N	1	*	*,10,*
contig_4	4969	5	N	N	1	*	*,4,*
contig_16	4679	3	N	N	1	*	*,16,*
contig_56	4113	3	N	N	1	*	*,56,*
contig_34	3824	3	N	Y	1	12	*,34,*
contig_54	3719	4	N	N	1	*	*,54,*
contig_6	3710	5	N	N	1	*	*,6,*
contig_41	2016	5	N	Y	1	16	41,*
