#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_65	52562	8	Y	N	2	*	65
contig_57	50971	3	N	N	1	*	*,57,*
contig_45	49629	3	N	N	1	*	*,45,*
contig_56	35197	4	N	N	1	*	*,56,*
contig_61	28131	3	N	N	1	*	*,61,*
contig_43	27676	4	N	N	1	*	*,43,*
contig_30	27182	4	N	N	1	*	*,30,*
contig_49	25986	3	N	N	1	*	*,49,*
contig_17	24399	3	N	N	1	*	*,17,*
contig_47	23063	3	N	N	1	*	*,47,*
contig_51	22782	3	N	N	1	*	*,51,*
contig_27	19700	3	N	N	1	*	*,27,*
contig_25	17809	4	N	N	1	*	*,25,*
contig_63	17595	3	N	N	1	*	*,63,*
contig_55	16616	4	N	N	1	*	*,55,*
contig_53	16472	3	N	N	1	*	*,53,*
contig_12	16359	3	N	N	1	*	*,12,*
contig_60	15800	3	N	N	1	*	*,60,7,*
contig_18	14866	3	N	N	1	*	*,18,*
contig_40	14477	4	N	N	1	*	*,40,*
contig_15	14125	3	N	N	1	*	*,15,*
contig_50	13720	3	N	N	1	*	*,50,*
contig_54	13606	3	N	N	1	*	*,54,*
contig_11	12553	3	N	N	1	*	*,11,*
contig_48	12384	4	N	N	1	*	*,48,*
contig_28	11822	4	N	N	1	*	*,28,*
contig_46	11541	3	N	N	1	*	*,46,*
contig_16	10820	4	N	N	1	*	*,16,*
contig_58	9164	3	N	N	1	*	*,58,*
contig_64	8773	15	Y	N	4	*	64
contig_42	8644	3	N	N	1	*	*,42,*
contig_4	8338	3	N	N	1	*	*,4,*
contig_6	8090	3	N	N	1	*	*,6,*
contig_62	7874	3	N	N	1	*	*,62,*
contig_3	7190	25	Y	N	7	*	3
contig_35	6867	3	N	N	1	*	*,35,*
contig_33	6700	3	N	N	1	*	*,33,*
contig_29	5741	3	N	N	1	*	*,29,*
contig_24	5116	3	N	N	1	*	*,24,*
contig_14	4803	3	N	N	1	*	*,14,*
contig_39	4513	4	N	N	1	*	*,39,*
contig_13	3963	3	N	N	1	*	*,13,*
contig_34	3788	4	N	N	1	*	*,34,*
contig_26	3524	4	N	N	1	*	*,26,*
contig_5	2860	3	N	N	1	*	*,5,*
contig_36	2857	3	N	N	1	*	*,36,*
contig_41	2760	4	N	N	1	*	*,41,*
contig_44	2720	3	N	N	1	*	*,44,*
contig_37	2719	3	N	N	1	*	*,37,*
contig_23	2324	3	N	N	1	*	*,23,*
contig_59	2256	4	N	N	1	*	*,59,*
contig_21	1220	5	N	Y	1	16	*,21,*
contig_2	823	7	N	Y	1	10	*,2,*
