#seq_name	length	coverage	circular	repeat	mult	telomere	alt_group	graph_path
contig_1	1403852	11	N	N	1	left	*	1,2
contig_3	885663	11	N	N	1	both	*	3
contig_4	688813	8	N	N	1	both	*	4
contig_5	16909	3	N	N	1	both	*	5
contig_6	2430	3	N	N	1	both	*	6
contig_7	2627	3	N	N	1	both	*	7
contig_8	9282	3	N	N	1	both	*	8
contig_9	679229	8	N	N	1	both	*	9
contig_10	7701	7	N	N	1	both	*	10
contig_11	5167	3	N	N	1	both	*	11
contig_12	2256	3	N	N	1	both	*	12
contig_13	5639	853	Y	N	78	none	*	13
contig_14	5337	666	Y	N	61	none	*	14
contig_15	2370	3	N	N	1	both	*	15
contig_16	7316	3	N	N	1	both	*	16
contig_17	3295	3	N	N	1	both	*	17
contig_18	17336	3	N	N	1	both	*	18
contig_19	6418	3	N	N	1	both	*	19
contig_20	5948	3	N	N	1	both	*	20
contig_21	7499	3	N	N	1	both	*	21
contig_22	7503	3	N	N	1	both	*	22
contig_23	5578	8	N	N	1	both	*	23
contig_24	8678	3	N	N	1	both	*	24
contig_25	5656	3	N	N	1	both	*	25
contig_26	517305	8	N	N	1	both	*	26
contig_27	4008	4	N	N	1	both	*	27
contig_28	2430	3	N	N	1	both	*	28
contig_29	5909	4	N	N	1	both	*	29
contig_30	10430	3	N	N	1	both	*	30
contig_31	3849	3	N	N	1	both	*	31
contig_32	2193	3	N	N	1	both	*	32
contig_33	2345	3	N	N	1	both	*	33
contig_34	3339	3	N	N	1	both	*	34
contig_35	3866	3	N	N	1	both	*	35
contig_36	2364	3	N	N	1	both	*	36
contig_37	5752	3	N	N	1	both	*	37
contig_38	7368	3	N	N	1	both	*	38
contig_39	5517	3	N	N	1	both	*	39
contig_40	6330	3	N	N	1	both	*	40
contig_41	10194	3	N	N	1	both	*	41
contig_42	4861	3	N	N	1	both	*	42
contig_43	18334	4	N	N	1	both	*	43
contig_44	6939	3	N	N	1	both	*	44
contig_45	5269	3	N	N	1	both	*	45
contig_46	7717	3	N	N	1	both	*	46
contig_47	8632	3	N	N	1	both	*	47
contig_48	9997	3	N	N	1	both	*	48
contig_49	16370	3	N	N	1	both	*	49
contig_50	84225	11	N	N	1	both	*	50
contig_51	9302	3	N	N	1	both	*	51
contig_52	6756	3	N	N	1	both	*	52
contig_53	9152	3	N	N	1	both	*	53
contig_54	12561	3	N	N	1	both	*	54
contig_55	15088	3	N	N	1	both	*	55
contig_56	2489	3	N	N	1	both	*	56
contig_57	5768	3	N	N	1	both	*	57
contig_58	5954	3	N	N	1	both	*	58
contig_59	10242	3	N	N	1	both	*	59
contig_60	4092	3	N	N	1	both	*	60
contig_61	2000	7	N	N	1	both	*	61
contig_62	3428	3	N	N	1	both	*	62
contig_63	2229	3	N	N	1	both	*	63
contig_64	60864	8	N	N	1	both	*	64
contig_65	4082	61	Y	Y	6	none	*	65
