#seq_name	length	coverage
contig_5	2860	3
contig_13	3963	3
contig_23	2324	3
contig_14	4803	3
contig_4	8338	3
contig_26	3524	4
contig_6	8090	3
contig_24	5116	3
contig_29	5741	3
contig_36	2857	3
contig_11	12553	3
contig_34	3788	4
contig_16	10820	4
contig_33	6700	3
contig_15	14125	3
contig_35	6867	3
contig_37	2719	3
contig_41	2760	4
contig_39	4513	4
contig_28	11822	4
contig_44	2720	3
contig_18	14866	3
contig_12	16359	3
contig_25	17809	4
contig_3	7190	25
contig_27	19700	3
contig_42	8644	3
contig_17	24399	3
contig_46	11541	3
contig_40	14477	4
contig_48	12384	4
contig_59	2256	4
contig_50	13720	3
contig_52	15281	1
contig_58	9164	3
contig_30	27182	4
contig_54	13606	3
contig_53	16472	3
contig_1	669	0
contig_62	7874	3
contig_47	23063	3
contig_2	823	7
contig_55	16616	4
contig_51	22782	3
contig_9	857	0
contig_43	27676	4
contig_49	25986	3
contig_60	15800	3
contig_22	1267	1
contig_21	1220	5
contig_32	1152	2
contig_63	17595	3
contig_38	7923	2
contig_64	8773	15
contig_61	28131	3
contig_56	35197	4
contig_45	49629	3
contig_31	26431	2
contig_57	50971	3
contig_65	52562	8
