#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_7	329438	7	N	N	1	*	*,7,*
contig_21	295381	7	N	N	1	*	*,21,*
contig_6	247855	6	N	N	1	*	*,6,*
contig_47	247699	6	N	N	1	*	*,47,*
contig_49	232384	7	N	N	1	*	*,49,*
contig_45	222724	8	N	N	1	*	*,45,*
contig_17	216402	6	N	N	1	*	*,17,*
contig_20	216003	7	N	N	1	*	*,20,*
contig_18	186605	6	N	N	1	*	*,18,*
contig_8	165282	6	N	N	1	*	9,8,*
contig_50	164758	6	N	N	1	*	*,50,*
contig_22	144889	5	N	N	1	*	*,22,*
contig_13	132749	7	N	N	1	*	*,13,*
contig_44	118690	6	N	N	1	*	*,44,*
contig_48	114449	4	N	N	1	*	*,48,*
contig_28	112447	6	N	N	1	*	*,28,*
contig_15	107407	7	N	N	1	*	*,15,*
contig_2	101226	6	N	N	1	*	*,2,*
contig_4	90932	8	N	N	1	*	*,4,*
contig_25	87578	8	N	N	1	*	*,25,*
contig_42	73140	7	N	N	1	*	*,42,*
contig_14	58195	8	N	N	1	*	*,14,*
contig_34	51765	8	N	N	1	*	*,34,*
contig_16	47959	4	N	N	1	*	*,16,*
contig_24	45083	5	N	N	1	*	*,24,*
contig_51	42871	68	Y	N	11	*	51
contig_26	40464	5	N	N	1	*	*,26,*
contig_46	40359	4	N	N	1	*	*,46,*
contig_32	40149	4	N	N	1	*	*,32,*
contig_19	35920	7	N	N	1	*	*,19,*
contig_11	34348	5	N	N	1	*	-9,11,*
contig_31	32506	7	N	N	1	*	*,31,*
contig_5	27686	5	N	N	1	*	*,5,*
contig_23	22167	5	N	N	1	*	*,23,*
contig_35	21503	5	N	N	1	*	*,35,*
contig_52	20236	5	N	N	1	*	*,52,*
contig_33	18653	3	N	N	1	*	*,33,*
contig_40	17892	3	N	N	1	*	*,40,*
contig_29	17540	4	N	N	1	*	*,29,*
contig_3	15227	5	N	N	1	*	*,3,*
contig_1	14265	5	N	N	1	*	*,1,*
contig_39	14220	3	N	N	1	*	*,39,*
contig_10	13655	5	N	N	1	*	*,10,*
contig_12	12079	39	Y	N	5	*	12
contig_27	10477	4	N	N	1	*	*,27,*
contig_36	8434	5	N	N	1	*	*,36,*
contig_41	3897	3	N	N	1	*	*,41,*
contig_43	3341	5	N	N	1	*	*,43,*
