#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_4	55983	4	N	N	1	*	*,4,*
contig_3	48469	4	N	N	1	*	*,3,*
contig_1	34798	6	N	N	1	*	*,1,*
contig_10	23239	4	N	N	1	*	*,10,*
contig_2	13593	3	N	N	1	*	*,2,*
contig_12	12983	3	N	N	1	*	*,12,*
contig_7	10409	3	N	N	1	*	*,7,*
contig_6	9925	4	N	N	1	*	*,6,*
contig_14	8899	3	N	N	1	*	*,14,*
contig_11	8045	3	N	N	1	*	*,11,*
contig_8	7060	3	N	N	1	*	*,8,*
contig_15	6827	16	Y	N	3	*	15
contig_9	6608	3	N	N	1	*	*,9,*
contig_13	3918	3	N	N	1	*	*,13,*
contig_5	2142	3	Y	Y	1	*	5
